,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
24623,4047,53:13.4,00:41.2,3220,5 Corners Library,40.73496102,-74.05950308,3220,5 Corners Library,40.73496102,-74.05950308,26200,Subscriber,1987,1
18377,310,26:20.3,31:30.6,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,26277,Subscriber,1981,2
34793,773,36:20.7,49:13.8,3638,Washington St,40.7242941,-74.0354826,3186,Grove St PATH,40.71958612,-74.04311746,26306,Customer,1969,0
28605,189,40:00.3,43:10.3,3272,Jersey & 3rd,40.72333159,-74.04595256,3186,Grove St PATH,40.71958612,-74.04311746,29459,Subscriber,1960,1
32343,182,43:51.5,46:53.7,3279,Dixon Mills,40.72163014,-74.04996783,3205,JC Medical Center,40.71653978,-74.04963791,26282,Subscriber,1996,2
31319,419,01:20.1,08:19.6,3276,Marin Light Rail,40.71458404,-74.04281706,3213,Van Vorst Park,40.71848892,-74.04772663,26292,Customer,1993,2
37191,449,40:20.4,47:49.5,3640,Journal Square,40.733670000000004,-74.0625,3212,Christ Hospital,40.73478582,-74.05044364,33581,Subscriber,1991,2
26545,290,28:35.2,33:26.1,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,29595,Subscriber,1993,1
9834,2446,38:57.4,19:44.2,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3203,Hamilton Park,40.72759597,-74.04424731,33670,Customer,1969,0
20307,166,31:08.0,33:54.3,3209,Brunswick St,40.7241765,-74.05065640000001,3211,Newark Ave,40.72152515,-74.04630454,26300,Subscriber,1986,1
1845,172,20:37.8,23:29.8,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29216,Subscriber,1975,2
20193,641,31:37.3,42:18.9,3209,Brunswick St,40.7241765,-74.05065640000001,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,29593,Subscriber,1989,2
36426,237,08:30.0,12:27.3,3639,Harborside,40.71925170000001,-74.034234,3202,Newport PATH,40.7272235,-74.03375890000001,29490,Subscriber,1958,1
1197,698,27:44.2,39:22.6,3183,Exchange Place,40.7162469,-74.0334588,3272,Jersey & 3rd,40.72333159,-74.04595256,26260,Subscriber,1986,1
25891,260,00:10.0,04:30.1,3267,Morris Canal,40.71241882,-74.03852552,3275,Columbus Drive,40.718355200000005,-74.03891444,29666,Subscriber,1960,1
21890,160,58:49.7,01:29.8,3211,Newark Ave,40.72152515,-74.04630454,3269,Brunswick & 6th,40.72601173,-74.05038893,26298,Subscriber,1978,1
8481,163,52:49.5,55:33.0,3187,Warren St,40.721123600000006,-74.03805095,3638,Washington St,40.7242941,-74.0354826,29253,Subscriber,1988,1
891,102,03:10.2,04:52.5,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.71925170000001,-74.034234,32831,Subscriber,1989,1
20530,309,47:37.7,52:46.8,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958612,-74.04311746,29438,Subscriber,1980,2
20351,1859,07:05.3,38:04.6,3209,Brunswick St,40.7241765,-74.05065640000001,3209,Brunswick St,40.7241765,-74.05065640000001,33569,Subscriber,1994,1
15373,980,07:19.1,23:39.4,3202,Newport PATH,40.7272235,-74.03375890000001,3198,Heights Elevator,40.74871595,-74.04044329999999,29298,Subscriber,1970,1
26279,524,37:37.1,46:21.6,3268,Lafayette Park,40.71346383,-74.06285852,3186,Grove St PATH,40.71958612,-74.04311746,29215,Subscriber,1978,1
24717,749,55:19.5,07:49.0,3220,5 Corners Library,40.73496102,-74.05950308,3193,Lincoln Park,40.724605100000005,-74.07840595,33652,Subscriber,1980,1
32437,454,25:56.7,33:31.1,3279,Dixon Mills,40.72163014,-74.04996783,3639,Harborside,40.71925170000001,-74.034234,29589,Subscriber,1990,1
20557,221,39:15.0,42:56.1,3209,Brunswick St,40.7241765,-74.05065640000001,3279,Dixon Mills,40.72163014,-74.04996783,29482,Subscriber,1959,2
6712,312,53:46.0,58:58.8,3186,Grove St PATH,40.71958612,-74.04311746,3278,Monmouth and 6th,40.72568548,-74.04879034,29232,Subscriber,1987,2
