,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
5334,405,31:32.1,38:17.5,3195,Sip Ave,40.73074263,-74.06378388,3212,Christ Hospital,40.73478582,-74.05044364,29280,Subscriber,1986,2
14105,573,39:08.9,48:42.4,3280,Astor Place,40.7192822,-74.07126188,3185,City Hall,40.717732500000004,-74.04384499999999,29290,Subscriber,1965,1
98,151,35:59.3,38:30.5,3183,Exchange Place,40.7162469,-74.0334588,3481,York St,40.71649,-74.04105,31776,Subscriber,1980,1
5277,586,37:03.9,46:50.3,3195,Sip Ave,40.73074263,-74.06378388,3210,Pershing Field,40.74267714,-74.05178863,31719,Subscriber,1954,1
13967,595,01:14.5,11:10.2,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.73074263,-74.06378388,31842,Subscriber,1977,1
12100,193,04:56.9,08:09.9,3272,Jersey & 3rd,40.72333159,-74.04595256,3203,Hamilton Park,40.72759597,-74.04424731,31911,Subscriber,1968,1
1969,308,47:47.2,52:55.6,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,31828,Subscriber,1979,1
8269,545,21:29.8,30:34.8,3206,Hilltop,40.7311689,-74.0575736,3272,Jersey & 3rd,40.72333159,-74.04595256,29205,Subscriber,1979,2
7509,261,57:51.1,02:12.8,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,31933,Subscriber,1989,1
9557,379,45:41.9,52:01.7,3212,Christ Hospital,40.73478582,-74.05044364,3203,Hamilton Park,40.72759597,-74.04424731,29440,Subscriber,1988,1
9712,181,48:13.0,51:14.5,3213,Van Vorst Park,40.71848892,-74.04772663,3279,Dixon Mills,40.72163014,-74.04996783,31747,Subscriber,1985,1
6567,318,30:47.4,36:06.4,3202,Newport PATH,40.7272235,-74.03375890000001,3639,Harborside,40.71925170000001,-74.034234,31911,Subscriber,1986,1
4601,208,53:34.4,57:03.3,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,29654,Subscriber,1994,1
2349,253,53:21.2,57:34.3,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,31865,Subscriber,1986,1
13296,733,19:15.3,31:29.2,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3186,Grove St PATH,40.71958612,-74.04311746,29580,Subscriber,1990,2
7181,265,01:20.5,05:45.9,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,31689,Subscriber,1987,1
3183,372,39:52.0,46:05.0,3186,Grove St PATH,40.71958612,-74.04311746,3269,Brunswick & 6th,40.72601173,-74.05038893,31813,Subscriber,1982,1
5628,815,09:11.5,22:46.6,3195,Sip Ave,40.73074263,-74.06378388,3200,MLK Light Rail,40.711130499999996,-74.0788855,26173,Subscriber,1977,1
8692,342,45:40.6,51:22.9,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958612,-74.04311746,31759,Subscriber,1996,1
3676,116,53:12.8,55:08.9,3186,Grove St PATH,40.71958612,-74.04311746,3272,Jersey & 3rd,40.72333159,-74.04595256,26234,Subscriber,1981,1
11871,257,09:57.1,14:14.4,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,29267,Subscriber,1978,1
